Temperature,Humidity,Rainfall,Soil Type_Clayey,Soil Type_Loamy,Soil Type_Sandy,Region_East,Region_North,Region_South,Region_West,Irrigation,Fertilization,Pest Control
1.645494126459212,-0.3778089723695989,-0.9591723488962152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Flood,Inorganic,Biological
-0.5377744941407375,0.10187625726454429,0.7143153657753472,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Drip,Organic,Biological
1.3173333786201837,0.19749844563118127,-1.4752894409022927,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Flood,Organic,Chemical
-1.5524821135107827,0.326788664018043,1.317538240736369,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Drip,Organic,Biological
-0.6512038381601344,-1.2581185976415075,0.6688767431530945,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Sprinkler,Organic,Biological
0.6814376728377305,-1.7072551525803503,-1.1338028048016184,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Flood,Organic,Biological
0.007528233141468821,-1.2201218638595375,0.9540886509278081,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Chemical
0.2599777690822274,0.6459081348185308,0.06734617155030777,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Chemical
0.4721575348651762,-0.7920174381499879,-0.7064859004598103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Biological
-1.6354194086913507,0.7998936831576957,-1.2905026913603062,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Biological
-0.49678838639271217,0.6040245641790289,-0.7903452206629071,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Drip,Inorganic,Biological
-0.9403620493241017,1.5015799243945935,-1.1719979709870285,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Drip,Organic,Chemical
1.0838245283658305,-1.5647444180021113,0.7802183800748131,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Sprinkler,Inorganic,Biological
0.44867574648807446,-1.3250949765778983,-1.6533555289605903,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Sprinkler,Organic,Biological
-1.6636773452571776,0.7714897190168414,-0.926479650500127,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Flood,Organic,Biological
0.004436106902160157,1.2035967495284272,-1.3134711086856874,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Drip,Organic,Biological
1.6437730512082454,0.4968600325675244,-1.2291135615257334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Flood,Inorganic,Chemical
-0.15510684100390337,0.7166269165432894,1.3067159218162798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Sprinkler,Inorganic,Biological
-1.6256977646202018,-0.9208641948315308,-1.0572118687474341,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Flood,Inorganic,Biological
0.8510638365826376,-1.7224257276429669,1.362049377836503,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Sprinkler,Organic,Biological
-0.18223272882047334,0.19257066126033617,1.6136404206934467,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Sprinkler,Inorganic,Biological
0.9501034304042048,-0.4681648326442572,-1.174109700785133,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Drip,Organic,Chemical
0.2867837374469044,0.2584563236568602,1.0417060491752992,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Flood,Organic,Chemical
-1.6728475549000044,-1.4826082486634486,-1.3818805458639047,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Sprinkler,Inorganic,Biological
-0.2661562733949918,0.8744600475220875,1.121171010912331,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Biological
-0.34726443879766605,0.3325262203105848,0.8786395500195735,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Sprinkler,Inorganic,Chemical
1.020793248292036,-0.65707692456025,1.1853585669232025,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Drip,Organic,Chemical
1.0144069625077548,1.4201477804046263,1.3565618612552104,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Sprinkler,Organic,Chemical
0.6321935130951152,-0.9991425130762458,1.0534845831064,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Drip,Inorganic,Biological
-0.6443376067508318,1.459359221655957,1.2455305608461555,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Sprinkler,Inorganic,Biological
1.0852074215727412,-1.413238554308159,-0.44901757064731934,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Drip,Organic,Chemical
1.4282366581078703,0.6896868069390604,0.7512892843415775,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Drip,Inorganic,Chemical
-1.2482010714314355,0.692925386960359,-0.4433012544577329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Drip,Organic,Biological
-1.3463290731601079,1.561019873611019,-0.5636572879067638,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Drip,Organic,Chemical
-1.2187435000224647,1.6528830419252238,0.3787705518625676,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Sprinkler,Organic,Chemical
-1.072038221333056,1.3438040284518666,-1.4663078415148,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Flood,Organic,Biological
-1.3513156467863494,-1.156703555965348,1.6745925484096373,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Sprinkler,Inorganic,Chemical
-1.4274571759999197,0.801631746983374,-1.1057754197182406,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Drip,Organic,Biological
0.8863556625616155,1.0770879234188055,-0.6206302574004048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Drip,Organic,Biological
-0.45550607663305115,1.4633307524919357,0.30902758169779027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Drip,Inorganic,Chemical
0.04549263275815565,-0.3133091245849856,-1.5699509238506328,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Flood,Organic,Biological
1.2816837414528999,0.3554125213523887,0.4782720650806011,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Sprinkler,Organic,Chemical
-0.47661397588225807,-0.4483290815884172,0.618014198210013,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Drip,Inorganic,Chemical
-1.2647978968678935,0.7543663813381052,-0.28798686799236545,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Flood,Inorganic,Chemical
0.8932022446648148,0.34157788008665063,-1.2532237898466199,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Drip,Inorganic,Biological
-1.5749414255223284,-1.5311601265080859,1.3334963786269183,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Drip,Inorganic,Biological
-0.264367805325168,1.0496154550774999,1.0001635060233114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Sprinkler,Organic,Chemical
0.43999066916177343,0.7815274977629437,0.6273988697508068,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Drip,Organic,Chemical
-1.5369629616335825,0.7753422084285212,-0.8920952609759045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Sprinkler,Inorganic,Biological
0.6824920559809462,1.3605830103510765,0.588863125035365,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Sprinkler,Organic,Chemical
1.4775595067442513,0.5228569138218134,-0.4387535253247866,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Sprinkler,Organic,Biological
